Stt,Chủ đề,Từ vựng,Nghĩa
1,Động vật,giraffe,hươu cao cổ
2,Động vật,hippopotamus,hà mã
3,Động vật,jaguar,báo đốm
4,Động vật,porcupine,nhím
5,Động vật,raccoon,gấu mèo
6,Động vật,swordfish,cá kiếm
7,Động vật,hermitcrab,ốc mượn hồn
8,Động vật,walrus,hải mã
9,Động vật,antelope,nai sừng tấm
10,Động vật,cobra,rắn hổ mang
11,Động vật,rhinoceros,tê giác
12,Động vật,squirrel,con sóc
13,Động vật,beaver,hải ly
14,Động vật,eel,lươn
15,Động vật,camel,lạc đà
16,Động vật,scorpion,bọ cạp
17,Động vật,zebra,ngựa vằn
18,Động vật,donkey,lừa
19,Động vật,jellyfish,sứa
20,Động vật,alligator = crocodile,cá sấu
21,Nghề nghiệp,cashier,thu ngân
22,Nghề nghiệp,reporter,phóng viên
23,Nghề nghiệp,tailor,thợ may
24,Nghề nghiệp,magician,ảo thuật gia
25,Nghề nghiệp,carpenter,thợ mộc
26,Nghề nghiệp,secretary,thư ký
27,Nghề nghiệp,businessman,người kinh doanh
28,Nghề nghiệp,vet,bác sĩ thú y
29,Nghề nghiệp,painter,thợ sơn nhà
30,Nghề nghiệp,hair dresser,thợ cắt tóc
31,Nghề nghiệp,flight attendant,tiếp viên hàng không
32,Nghề nghiệp,astronaut,phi hành gia
33,Nghề nghiệp,interior designer,nhà thiết kế nội thất
34,Nghề nghiệp,psychologist,nhà tâm lý học
35,Nghề nghiệp,disc jockey,DJ
36,Nghề nghiệp,florist,người bán hoa
37,Nghề nghiệp,sailor,thuỷ thủ
38,Nghề nghiệp,surgeon,bác sĩ phẫu thuật
39,Nghề nghiệp,tattooist,nhân viên xăm
40,Nghề nghiệp,chauffeur,tài xế riêng
41,Hoa,daisy,hoa cúc
42,Hoa,narcissus,hoa thuỷ tiên
43,Hoa,orchid,hoa phong lan
44,Hoa,carnation,hoa cẩm chướng
45,Hoa,cyclamen,hoa anh thảo
46,Hoa,mimosa,hoa trinh nữ
47,Hoa,lily,hoa huệ tây
48,Hoa,bluebell,hoa chuông
49,Hoa,cactus flower,hoa xương rồng
50,Hoa,cockscomb,hoa mào gà
51,Hoa,confederate,hoa phù dung
52,Hoa,crocus,hoa nghệ tây
53,Hoa,daffodil,hoa thuỷ tiên vàng
54,Hoa,eglantine,hoa tầm xuân
55,Hoa,flamboyant,hoa phượng
56,Hoa,forget-me-not,hoa lưu ly
57,Hoa,frangipani,hoa sứ
58,Hoa,gerbera,hoa đồng tiền
59,Hoa,hibiscus,hoa dâm bụt
60,Hoa,jasmine,hoa nhài
61,Trái cây,pear,trái lê
62,Trái cây,pomegranate,trái lựu
63,Trái cây,peach,trái đào
64,Trái cây,dragon fruit,trái thanh long
65,Trái cây,starfruit,trái khế
66,Trái cây,passion fruit,trái chanh dây
67,Trái cây,jackfruit,trái mít
68,Trái cây,guava,trái ổi
69,Trái cây,date,trái chà là
70,Trái cây,lychee,trái vải
71,Trái cây,longan,trái nhãn
72,Trái cây,durian,trái sầu riêng
73,Trái cây,tangerine,trái quýt
74,Trái cây,avocado,trái bơ
75,Trái cây,persimmon,trái hồng
76,Trái cây,papaya,trái đu đủ
77,Trái cây,mangosteen,trái măng cụt
78,Trái cây,rambutan,trái chôm chôm
79,Trái cây,sapodilla,trái sa bô
80,Trái cây,fig,trái sung
81,Bộ phận cơ thể,shoulder,vai
82,Bộ phận cơ thể,neck,cổ
83,Bộ phận cơ thể,stomach,bụng
84,Bộ phận cơ thể,eyebrow,lông mày
85,Bộ phận cơ thể,cheek,má
86,Bộ phận cơ thể,chin,cằm
87,Bộ phận cơ thể,elbow,khuỷu tay
88,Bộ phận cơ thể,ankle,cổ chân
89,Bộ phận cơ thể,knee,đầu gối
90,Bộ phận cơ thể,thumb,ngón cái
